food_id,name,category,kcal,protein,nacl,potassium,phosphate
69420,Ananas,Obst,59,0.5,0.0,173,9
69421,Apfel getrocknet,Obst,248,1.4,0.0,627,50
69422,Apfel roh,Obst,52,0.4,0.0,144,11
69423,Apfelmus,Obst,79,0.4,0.0,114,7
69424,Apfelsaft,Getränke,43,0.7,0.0,143,15
69425,Aubergine gegart ohne Salz,Gemüse und Salate,17,1.3,0.0,187,21
69426,Avocado,Gemüse und Salate,217,1.9,0.0,504,38
69427,Banane,Obst,95,1.2,0.0,394,28
69428,Barbecue0Grillsauce,Soßen Fette,146,1.8,3.0,464,52
69429,Bier hell,Getränke,43,0.5,0.0,95,32
69430,Birne,Obst,52,0.5,0.0,125,15
69431,Blumenkohl gegart ohne Salz,Gemüse und Salate,18,2.2,0.0,245,49
69432,Blumenkohl roh,Gemüse und Salate,23,2.5,0.0,328,54
69433,Bohnen (Schneidbohnen) grün,Gemüse und Salate,12,1.2,0.6,143,24
69434,Butter,Soßen Fette,741,0.7,0.0,16,21
69435,Camembert (45 % Fett i.Tr.),Milch und Milchprodukte,288,21.0,1.8,150,350
69436,Cashew0Nuss,Nüsse,569,17.2,0.0,552,373
69437,Emmentaler (45 % Fett i.Tr.),Milch und Milchprodukte,400,28.9,0.7,95,627
69438,Erbsen Konserve abgetropft,Gemüse und Salate,70,6.2,0.6,177,94
69439,Erbsen grün frisch,Gemüse und Salate,82,6.6,0.0,304,108
69440,Erdbeere,Obst,32,0.8,0.0,145,25
69441,Erdnussbutter,Aufstriche,597,26.1,0.6,760,362
69442,Erdnussflips,Süßigkeiten Knabbereien,529,9.7,2.0,165,107
69443,Feta,Milch und Milchprodukte,236,17.0,3.0,150,360
69444,Fleischwurst,Fleisch Wurst Fisch Eier,252,16.2,2.5,300,148
69445,Forelle blau,Fleisch Wurst Fisch Eier,115,20.3,0.3,327,216
69446,Frischkäse Doppelrahmstufe,Milch und Milchprodukte,335,11.0,1.0,90,150
69447,Geleefrüchte,Süßigkeiten Knabbereien,329,1.6,0.0,123,11
69448,Gurke frisch,Gemüse und Salate,12,1.0,0.0,165,15
69449,Haselnuss,Nüsse,636,11.9,0.0,635,337
69450,Heidelbeere,Obst,42,0.6,0.0,73,13
69451,Himbeere,Obst,34,1.3,0.0,170,45
